id,user_id,online_quiz_id,online_answer_id,grade,created_at,updated_at,lecture_id,optional_text,group_id,course_id,review_vote,in_group,inclass,attempt,distance_peer
4186664,69214,86678,272932,1.0,2020-02-24 08:39:25,2020-02-24 08:39:25,53828,,17002,4363,false,false,false,4,false
4186570,69214,86677,272926,1.0,2020-02-24 08:30:19,2020-02-24 08:30:19,53828,,17002,4363,false,false,false,2,false
4186561,69214,86676,272920,1.0,2020-02-24 08:28:55,2020-02-24 08:28:55,53828,,17002,4363,false,false,false,2,false
4186548,69214,86675,272916,1.0,2020-02-24 08:27:07,2020-02-24 08:27:07,53828,,17002,4363,false,false,false,2,false
4186122,67636,90454,285145,1.0,2020-02-24 00:26:41,2020-02-24 00:26:41,56793,,17151,4363,false,false,false,1,false
4186121,67636,90453,285142,1.0,2020-02-24 00:26:11,2020-02-24 00:26:11,56793,,17151,4363,false,false,false,1,false
4186120,67636,90452,285139,1.0,2020-02-24 00:25:51,2020-02-24 00:25:51,56793,,17151,4363,false,false,false,1,false
4186119,67636,90451,285134,1.0,2020-02-24 00:25:37,2020-02-24 00:25:37,56793,,17151,4363,false,false,false,1,false
4172171,68046,88420,278828,1.0,2020-02-19 07:43:47,2020-02-19 07:43:47,55462,,17151,4363,false,false,false,6,false
4172170,68046,88420,278828,1.0,2020-02-19 07:43:44,2020-02-19 07:43:44,55462,,17151,4363,false,false,false,5,false
4172169,68046,88420,278828,1.0,2020-02-19 07:43:42,2020-02-19 07:43:42,55462,,17151,4363,false,false,false,4,false
4172168,68046,88420,278828,1.0,2020-02-19 07:43:38,2020-02-19 07:43:38,55462,,17151,4363,false,false,false,3,false
4164569,67126,90464,285185,1.0,2020-02-17 12:32:53,2020-02-17 12:32:53,56793,,17151,4363,false,false,false,1,false
4164567,67126,90463,285183,1.0,2020-02-17 12:31:59,2020-02-17 12:31:59,56793,,17151,4363,false,false,false,1,false
4164566,67126,90462,285178,1.0,2020-02-17 12:31:27,2020-02-17 12:31:27,56793,,17151,4363,false,false,false,1,false
4164564,67126,90461,285176,1.0,2020-02-17 12:31:01,2020-02-17 12:31:01,56793,,17151,4363,false,false,false,2,false
4164563,67126,90461,285176,1.0,2020-02-17 12:31:01,2020-02-17 12:31:01,56793,,17151,4363,false,false,false,1,false
4164556,67126,90460,285170,1.0,2020-02-17 12:29:04,2020-02-17 12:29:04,56793,,17151,4363,false,false,false,1,false
4164552,67126,90459,285167,1.0,2020-02-17 12:27:22,2020-02-17 12:27:22,56793,,17151,4363,false,false,false,1,false
4164545,67126,90458,285164,1.0,2020-02-17 12:22:59,2020-02-17 12:22:59,56793,,17151,4363,false,false,false,1,false
4164544,67126,90457,285157,1.0,2020-02-17 12:21:53,2020-02-17 12:21:53,56793,,17151,4363,false,false,false,1,false
4164543,67126,90456,285155,1.0,2020-02-17 12:21:28,2020-02-17 12:21:28,56793,,17151,4363,false,false,false,1,false
